Unnamed: 0,code,desc,category,new_category
0,510,VEHICLE - STOLEN,Theft,Theft
1,330,BURGLARY FROM VEHICLE,Theft,Theft
2,480,BIKE - STOLEN,Theft,Theft
3,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Theft,Theft
4,648,ARSON,Property Crime,Property Crime
5,310,BURGLARY,Theft,Theft
6,805,PIMPING,Sex Crime,Sex Crime
7,806,PANDERING,Other,Other
8,946,OTHER MISCELLANEOUS CRIME,Other,Other
9,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),Property Crime,Property Crime
10,626,INTIMATE PARTNER - SIMPLE ASSAULT,Violent Crime,Violent Crime
11,210,ROBBERY,Theft,Theft
12,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Weapons Offense,Weapons Offense
13,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Violent Crime,Violent Crime
14,354,THEFT OF IDENTITY,Other,Theft
15,624,BATTERY - SIMPLE ASSAULT,Violent Crime,Violent Crime
16,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Theft,Theft
17,662,"BUNCO, GRAND THEFT",Theft,Theft
18,900,VIOLATION OF COURT ORDER,Other,Other
19,901,VIOLATION OF RESTRAINING ORDER,Other,Other
20,440,THEFT PLAIN - PETTY ($950 & UNDER),Theft,Theft
21,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Property Crime,Property Crime
22,121,"RAPE, FORCIBLE",Violent Crime,Violent Crime
23,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),Other,Theft
24,888,TRESPASSING,Property Crime,Property Crime
25,520,VEHICLE - ATTEMPT STOLEN,Theft,Theft
26,437,RESISTING ARREST,Other,Other
27,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Theft,Theft
28,410,"BURGLARY FROM VEHICLE, ATTEMPTED",Theft,Theft
29,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Sex Crime,Sex Crime
30,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,Weapons Offense,Weapons Offense
31,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,Other,Other
32,661,UNAUTHORIZED COMPUTER ACCESS,Other,Theft
33,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Other,Theft
34,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Other,Violent Crime
35,761,BRANDISH WEAPON,Weapons Offense,Weapons Offense
36,320,"BURGLARY, ATTEMPTED",Theft,Theft
37,753,DISCHARGE FIREARMS/SHOTS FIRED,Weapons Offense,Weapons Offense
38,623,BATTERY POLICE (SIMPLE),Violent Crime,Violent Crime
39,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Theft,Theft
40,820,ORAL COPULATION,Other,Sex Crime
41,850,INDECENT EXPOSURE,Sex Crime,Sex Crime
42,450,THEFT FROM PERSON - ATTEMPT,Other,Theft
43,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Violent Crime,Violent Crime
44,625,OTHER ASSAULT,Violent Crime,Violent Crime
45,886,DISTURBING THE PEACE,Other,Other
46,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,Violent Crime,Violent Crime
47,755,BOMB SCARE,Other,Property Crime
48,890,FAILURE TO YIELD,Other,Other
49,903,CONTEMPT OF COURT,Other,Other
50,220,ATTEMPTED ROBBERY,Theft,Theft
51,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Violent Crime,Violent Crime
52,649,DOCUMENT FORGERY / STOLEN FELONY,Theft,Theft
53,664,"BUNCO, PETTY THEFT",Theft,Theft
54,815,SEXUAL PENETRATION W/FOREIGN OBJECT,Sex Crime,Sex Crime
55,251,SHOTS FIRED AT INHABITED DWELLING,Other,Weapons Offense
56,922,CHILD STEALING,Other,Violent Crime
57,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",Fraud,Fraud
58,920,KIDNAPPING - GRAND ATTEMPT,Violent Crime,Violent Crime
59,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Other,Weapons Offense
60,350,"THEFT, PERSON",Other,Theft
61,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Violent Crime,Violent Crime
62,940,EXTORTION,Other,Theft
63,237,CHILD NEGLECT (SEE 300 W.I.C.),Other,Other
64,470,TILL TAP - GRAND THEFT ($950.01 & OVER),Theft,Theft
65,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Other,Sex Crime
66,860,BATTERY WITH SEXUAL CONTACT,Violent Crime,Violent Crime
67,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Traffic Offense,Traffic Offense
68,813,CHILD ANNOYING (17YRS & UNDER),Other,Other
69,651,DOCUMENT WORTHLESS ($200.01 & OVER),Other,Other
70,122,"RAPE, ATTEMPTED",Violent Crime,Violent Crime
71,434,FALSE IMPRISONMENT,Other,Other
72,647,THROWING OBJECT AT MOVING VEHICLE,Other,Traffic Offense
73,762,LEWD CONDUCT,Sex Crime,Sex Crime
74,932,PEEPING TOM,Other,Sex Crime
75,910,KIDNAPPING,Violent Crime,Violent Crime
76,110,CRIMINAL HOMICIDE,Violent Crime,Violent Crime
77,763,STALKING,Other,Sex Crime
78,441,THEFT PLAIN - ATTEMPT,Other,Theft
79,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Sex Crime,Sex Crime
80,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,Other,Other
81,814,CHILD PORNOGRAPHY,Other,Sex Crime
82,756,WEAPONS POSSESSION/BOMBING,Weapons Offense,Weapons Offense
83,433,DRIVING WITHOUT OWNER CONSENT (DWOC),Other,Traffic Offense
84,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,Other,Theft
85,352,PICKPOCKET,Other,Theft
86,443,SHOPLIFTING - ATTEMPT,Theft,Theft
87,660,COUNTERFEIT,Other,Fraud
88,666,"BUNCO, ATTEMPT",Other,Theft
89,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",Fraud,Fraud
90,943,CRUELTY TO ANIMALS,Other,Violent Crime
91,439,FALSE POLICE REPORT,Other,Other
92,933,PROWLER,Other,Sex Crime
93,345,DISHONEST EMPLOYEE - GRAND THEFT,Theft,Theft
94,928,THREATENING PHONE CALLS/LETTERS,Other,Violent Crime
95,351,PURSE SNATCHING,Other,Theft
96,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Theft,Theft
97,652,DOCUMENT WORTHLESS ($200 & UNDER),Other,Other
98,949,ILLEGAL DUMPING,Other,Property Crime
99,760,LEWD/LASCIVIOUS ACTS WITH CHILD,Sex Crime,Sex Crime
100,622,BATTERY ON A FIREFIGHTER,Violent Crime,Violent Crime
101,446,PETTY THEFT - AUTO REPAIR,Theft,Theft
102,113,"MANSLAUGHTER, NEGLIGENT",Violent Crime,Violent Crime
103,438,RECKLESS DRIVING,Other,Traffic Offense
104,471,TILL TAP - PETTY ($950 & UNDER),Other,Theft
105,451,PURSE SNATCHING - ATTEMPT,Other,Theft
106,436,LYNCHING - ATTEMPTED,Other,Violent Crime
107,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Fraud,Fraud
108,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER",Fraud,Fraud
109,474,"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Other,Theft
110,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Traffic Offense,Traffic Offense
111,485,BIKE - ATTEMPTED STOLEN,Theft,Theft
112,954,CONTRIBUTING,Other,Other
113,942,BRIBERY,Other,Fraud
114,487,BOAT - STOLEN,Theft,Theft
115,944,CONSPIRACY,Other,Other
116,347,GRAND THEFT / INSURANCE FRAUD,Theft,Theft
117,865,"DRUGS, TO A MINOR",Drug-Related,Drug-Related
118,870,CHILD ABANDONMENT,Other,Violent Crime
119,473,"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",Other,Theft
120,880,DISRUPT SCHOOL,Other,Other
121,475,"THEFT, COIN MACHINE - ATTEMPT",Other,Theft
122,444,DISHONEST EMPLOYEE - PETTY THEFT,Theft,Theft
123,435,LYNCHING,Other,Violent Crime
124,906,FIREARMS RESTRAINING ORDER (FIREARMS RO),Weapons Offense,Weapons Offense
125,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",Weapons Offense,Weapons Offense
126,349,GRAND THEFT / AUTO REPAIR,Theft,Theft
127,353,DRUNK ROLL,Other,Drug-Related
128,452,"PICKPOCKET, ATTEMPT",Other,Theft
129,924,TELEPHONE PROPERTY - DAMAGE,Other,Property Crime
130,840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",Sex Crime,Sex Crime
131,948,BIGAMY,Other,Sex Crime
132,884,FAILURE TO DISPERSE,Other,Other
133,904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),Weapons Offense,Weapons Offense
134,830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Sex Crime,Sex Crime
135,432,BLOCKING DOOR INDUCTION CENTER,Other,Property Crime
136,882,INCITING A RIOT,Other,Property Crime
137,445,DISHONEST EMPLOYEE ATTEMPTED THEFT,Other,Theft
138,926,TRAIN WRECKING,Other,Property Crime
139,453,DRUNK ROLL - ATTEMPT,Other,Drug-Related
